,accuracy,precision,recall
2212212,0.85375,0.3333333333333333,0.017391304347826087
2111122,0.856875,0.8,0.017241379310344827
2222221,0.85625,0.6666666666666666,0.017241379310344827
1122121,0.848125,0.2222222222222222,0.017167381974248927
1311221,0.82875,0.081632653,0.017167381974248927
2112121,0.851875,0.3333333333333333,0.017167381974248927
2113212,0.8525,0.36363636363636365,0.017167381974248927
1232212,0.85125,0.3333333333333333,0.017094017094017096
2312212,0.85375,0.8,0.016877637130801686
3131221,0.84625,0.23529411764705882,0.016877637130801686
1133211,0.851875,0.6666666666666666,0.016736401673640166
3321121,0.85,0.4444444444444444,0.016736401673640166
3132322,0.848125,0.36363636363636365,0.016666666666666666
3221112,0.84875,0.4,0.016666666666666666
1121212,0.83875,0.2222222222222222,0.016129032258064516
1113311,0.839375,0.3076923076923077,0.015873015873015872
1132221,0.8625,0.10344827586206896,0.015228426395939087
2312122,0.873125,0.375,0.014925373134328358
1123321,0.870625,0.3,0.014778325123152709
2321112,0.87375,0.75,0.014705882352941176
2322221,0.868125,0.25,0.014634146341463415
1331221,0.864375,0.25,0.014218009478672985
1131221,0.855625,0.125,0.014084507042253521
1221211,0.8625,0.23076923076923078,0.014084507042253521
2322122,0.860625,0.2,0.014018691588785047
1112312,0.86625,0.6,0.013953488372093023
1123112,0.8575,0.15789473684210525,0.013953488372093023
1222312,0.863125,0.3,0.013953488372093023
1112121,0.85625,0.16666666666666666,0.013761467889908258
1313212,0.86375,0.5,0.013761467889908258
1331122,0.8625,0.375,0.013761467889908258
1332222,0.8575,0.23076923076923078,0.013574660633484163
3311111,0.86125,0.42857142857142855,0.013574660633484163
1212321,0.861875,0.6,0.013513513513513514
1233211,0.86,0.375,0.013513513513513514
3123311,0.854375,0.17647058823529413,0.013513513513513514
1223322,0.85875,0.3333333333333333,0.013452914798206279
2322311,0.861875,0.75,0.013452914798206279
3131212,0.86125,0.6,0.013452914798206279
3322111,0.861875,0.75,0.013452914798206279
1132321,0.86125,0.75,0.013392857142857142
2222112,0.860625,0.6,0.013392857142857142
3222222,0.8575,0.3,0.013392857142857142
2222312,0.85625,0.2727272727272727,0.013333333333333334
1132112,0.85625,0.3333333333333333,0.013215859030837005
1133121,0.855625,0.3,0.013215859030837005
1333221,0.8575,0.42857142857142855,0.013215859030837005
2112312,0.85625,0.3333333333333333,0.013215859030837005
3112111,0.859375,0.75,0.013215859030837005
1232312,0.85875,0.75,0.013157894736842105
1332321,0.850625,0.17647058823529413,0.013157894736842105
2321211,0.855625,0.3333333333333333,0.013157894736842105
3123112,0.85875,0.75,0.013157894736842105
3332112,0.856875,0.42857142857142855,0.013157894736842105
1213112,0.85625,0.42857142857142855,0.013100436681222707
2212122,0.856875,0.6,0.013043478260869565
2232121,0.85625,0.5,0.013043478260869565
2311222,0.85625,0.5,0.013043478260869565
1211211,0.84125,0.10344827586206896,0.012987012987012988
1331311,0.85625,0.6,0.012987012987012988
1332211,0.856875,0.75,0.012987012987012988
2111311,0.854375,0.375,0.012987012987012988
2222212,0.850625,0.21428571428571427,0.012987012987012988
1112321,0.8525,0.3333333333333333,0.012875536480686695
1131111,0.851875,0.3,0.012875536480686695
1222111,0.85125,0.2727272727272727,0.012875536480686695
2122312,0.854375,0.5,0.012875536480686695
2131211,0.851875,0.3,0.012875536480686695
3322221,0.854375,0.5,0.012875536480686695
1131122,0.851875,0.42857142857142855,0.012711864406779662
3212111,0.8525,0.5,0.012711864406779662
3321111,0.85,0.3,0.012711864406779662
2121122,0.851875,0.5,0.012658227848101266
2131121,0.851875,0.5,0.012658227848101266
3133312,0.8525,0.6,0.012658227848101266
3221221,0.846875,0.23076923076923078,0.012605042016806723
3311222,0.851875,0.75,0.012552301255230125
3312222,0.85,0.42857142857142855,0.012552301255230125
