label,encoding,r_square,mse
a0b0c1e0f0g0,0,0.015256852912194918,0.22433765752569712
a0b0c1e0f0g0,1,0.009187327287912161,0.2257203766285114
a0b0c1e0f0g1,0,0.01585968714449182,0.2694768831596598
a0b0c1e0f0g1,1,0.008830119944859272,0.2714017162695057
a0b0c1e0f0g2,0,0.017049368491470096,0.13684649368079713
a0b0c1e0f0g2,1,0.010485476550941453,0.13776031942968794
a0b0c1e0f1g0,0,0.015810324310399637,0.23279472656596595
a0b0c1e0f1g0,1,0.008337544060203261,0.23456229625095892
a0b0c1e0f1g1,0,0.016607535253911676,0.2764284464884056
a0b0c1e0f1g1,1,0.008300923566038954,0.27876340821200796
a0b0c1e0f1g2,0,0.012334638917380625,0.13730563778904248
a0b0c1e0f1g2,1,0.009511238309867887,0.13769814808293754
a0b0c1e1f0g0,0,0.015256852912194918,0.22433765752569712
a0b0c1e1f0g0,1,0.009187327287912161,0.2257203766285114
a0b0c1e1f0g1,0,0.01585968714449182,0.2694768831596598
a0b0c1e1f0g1,1,0.008830119944859272,0.2714017162695057
a0b0c1e1f0g2,0,0.017049368491470096,0.13684649368079713
a0b0c1e1f0g2,1,0.010485476550941453,0.13776031942968794
a0b0c1e1f1g0,0,0.015810324310399637,0.23279472656596595
a0b0c1e1f1g0,1,0.008337544060203261,0.23456229625095892
a0b0c1e1f1g1,0,0.016607535253911676,0.2764284464884056
a0b0c1e1f1g1,1,0.008300923566038954,0.27876340821200796
a0b0c1e1f1g2,0,0.012334638917380625,0.13730563778904248
a0b0c1e1f1g2,1,0.009511238309867887,0.13769814808293754
a0b0c1e2f0g0,0,0.02807330738898306,0.3281938261685745
a0b0c1e2f0g0,1,0.01518729821569531,0.33254508916688097
a0b0c1e2f0g1,0,0.02972178831838812,0.4274643106890875
a0b0c1e2f0g1,1,0.015583186825241069,0.43369319171373844
a0b0c1e2f0g2,0,0.034145615190430356,0.26225940922941293
a0b0c1e2f0g2,1,0.02110092873724334,0.26580144601736033
a0b0c1e2f1g0,0,0.028053965066999198,0.31987153170178534
